speed_mean_30s,speed_std_30s,consumption_mean_30s,throttle_std_30s,sigRemainingEnergy,sigAgility,sigRecuperationLevel,target
-0.8846274934248671,-1.0550244769555572,-0.892753431701767,-1.9068740955016286,1.4336900686611538,-0.9797958971132711,0.9797958971132711,509.2623730260103
-0.8846274934248671,-1.0550244769555572,-0.7638583232096894,-0.9054350109504167,1.4336900686611538,-0.9797958971132711,0.9797958971132711,476.1375626259699
-0.8278253892366179,-0.21804257160355636,-0.8216199021051812,-0.6625166361963355,1.4336015009460854,-0.9797958971132711,0.9797958971132711,515.435364508767
-0.8420259152836802,-0.33017688441282184,-1.186861666151994,-0.26902489194654344,1.4336015009460854,-0.9797958971132711,0.9797958971132711,814.9140691776275
-0.8505462309119176,-0.4067010808545069,-1.120123190006871,-0.4501145312460429,1.4336015009460854,-0.9797958971132711,0.9797958971132711,503.8780312900843
-0.8321976559895901,-0.3604343720982573,-1.0219009373546917,-0.4361248090724674,1.4335182510239977,-0.9797958971132711,0.9797958971132711,463.94008874415175
-0.822694021586536,-0.38584334588488606,-1.1644854330314685,-0.45183096214104923,1.4334747111698254,-0.9797958971132711,0.9797958971132711,731.9117733850187
-0.8304357055663274,-0.40808356264437734,-1.281324248252362,-0.5013257627038428,1.4334747111698254,-0.9797958971132711,0.9797958971132711,755.108628700374
-0.8364570153283875,-0.43065921036817234,-1.2706020312274053,-0.5370971139419302,1.4334747111698254,-0.9797958971132711,0.9797958971132711,552.8333744051811
-0.8412740631380354,-0.4522716863611781,-1.1684652143810352,-0.0734867397706885,1.4334747111698254,-0.9797958971132711,0.9797958971132711,433.90381579034806
-0.8119982144184549,-0.05038093608203324,-1.1230588787080231,-0.16416281529546728,1.4332708936224952,-0.9797958971132711,0.9797958971132711,480.2542546434922
-0.8180506543356559,-0.08066943341542228,-1.216675144622838,-0.14281216997545088,1.4332708936224952,-0.9797958971132711,0.9797958971132711,802.3841439567996
-0.8231719496502107,-0.1090168898235853,-1.1873034067687147,-0.20709571402821025,1.4332708936224952,-0.9797958971132711,0.9797958971132711,501.41829624575206
-0.8200019075923906,-0.14054554164905836,-1.1370089111639958,-0.18349614080321505,1.433209065139415,-0.9797958971132711,0.9797958971132711,458.56741404255416
-0.8162969816232349,-0.16539555985549562,-1.102335885754511,-0.22169060015311884,1.4331411277463462,-0.9797958971132711,0.9797958971132711,473.9695582905107
-0.8002642046123586,-0.03701842833687605,-1.0546540277952734,-0.23194301221941827,1.432944720892942,-0.9797958971132711,0.9797958971132711,443.08445888434176
-0.7946938348335316,-0.05016525789068718,-1.107963518039671,-0.2422934440275726,1.4328776800037455,-0.9797958971132711,0.9797958971132711,715.501266666495
-0.7901381207879385,-0.06639764327617902,-1.163963713740853,-0.20540516009068072,1.4328170906539697,-0.9797958971132711,0.9797958971132711,760.1923451065562
-0.7951112456635663,-0.07671317720584137,-1.155301470575799,-0.25117987302086087,1.4328170906539697,-0.9797958971132711,0.9797958971132711,524.3343565568098
-0.7852081294027151,-0.030975480116215235,-1.1434502940580276,-0.2697997890611119,1.432666853136885,-0.9797958971132711,0.9797958971132711,512.7757091423942
-0.7898026755383429,-0.04096018564286355,-1.1967834791380798,-0.24913342073378758,1.4326658806771948,-0.9797958971132711,0.9797958971132711,808.2064019561157
-0.7885669080738721,-0.06417131635240762,-1.180132412074288,-0.28875267075810185,1.4326006179003619,-0.9797958971132711,0.9797958971132711,500.822942721378
-0.7891454105416581,-0.08666490951832581,-1.1489701214860308,-0.25161445130526255,1.4325520407944785,-0.9797958971132711,0.9797958971132711,456.36283855470657
-0.775806899288674,0.043149024429396804,-1.0929851417962875,-0.06893759947582995,1.4322692535121364,-0.9797958971132711,0.9797958971132711,393.69997310455176
-0.761990412173769,0.1701823108153137,-1.0583196898534932,-0.0798696577286459,1.4319873332433437,-0.9797958971132711,0.9797958971132711,431.6093301034463
-0.7438394383427075,0.3806058303306688,-1.026768488288197,-0.11019770201592924,1.4316192996325625,-0.9797958971132711,0.9797958971132711,432.755750815509
-0.7238389325719254,0.6073357687090174,-1.045410473384123,0.05999115825483813,1.4313227659065557,-0.9797958971132711,0.9797958971132711,614.9995274318406
-0.7295813811738163,0.5966159741773135,-1.092752007934364,0.09200674301440248,1.4313227659065557,-0.9797958971132711,0.9797958971132711,847.1832434617824
-0.725016478352122,0.5802819192244741,-1.0762544641366893,0.057618660867343276,1.4311602041858829,-0.9797958971132711,0.9797958971132711,473.6275085307576
-0.7303368455212135,0.5708511111137865,-1.051579306397345,0.1168617270260942,1.4311602041858829,-0.9797958971132711,0.9797958971132711,442.6997336684365
-0.7108775376784099,0.6816561385738913,-1.0289811277158665,0.126204405692933,1.4307969242563845,-0.9797958971132711,0.9797958971132711,430.4544778514901
-0.704571303596432,0.6591328866573449,-1.0758384596527057,0.13336337296070472,1.4307282339791947,-0.9797958971132711,0.9797958971132711,737.7597999895729
-0.6971851507619292,0.690287544284589,-1.0969023063372472,0.12780820726174305,1.43055966414246,-0.9797958971132711,0.9797958971132711,622.8914740749143
-0.6971851507619292,0.690287544284589,-1.0964633306691034,0.19131608841381126,1.43055966414246,-0.9797958971132711,0.9797958971132711,810.2168096291514
-0.6971851507619292,0.690287544284589,-1.0549761380255387,0.5808929613797827,1.43055966414246,-0.9797958971132711,0.9797958971132711,378.1503790244969
-0.6742275601491955,0.9553760807276146,-1.0094697554456082,0.7684612447125315,1.4299172980412453,-0.9797958971132711,0.9797958971132711,347.3095038925404
-0.651878416463048,1.140465418855636,-0.9874712325323104,0.9099587726246591,1.4295543904334171,-0.9797958971132711,0.9797958971132711,582.6635242006271
-0.6379213104987395,1.1259621555862052,-0.9679063866956914,1.1006390448739014,1.4293709522924816,-0.9797958971132711,0.9797958971132711,611.3988488552451
-0.6310233886156087,1.0909466416333569,-0.946992099842062,1.0933571967104334,1.4292522415132818,-0.9797958971132711,0.9797958971132711,466.92285850289295
-0.6102022981325396,1.125751488756749,-0.9446408111083654,1.02179265179854,1.4288603365534962,-0.9797958971132711,0.9797958971132711,426.9073031352497
-0.6065716735621992,1.1435785019731812,-0.9692841321670689,1.2237793687038083,1.4286455432083807,-0.9797958971132711,0.9797958971132711,591.458812195189
-0.6065716735621992,1.1435785019731812,-0.900153367720271,1.2984620479411482,1.4286455432083807,-0.9797958971132711,0.9797958971132711,426.30940595976745
-0.576274482249031,1.3040875497274644,-0.83078139235799,1.5806068463616245,1.4278914003087462,-0.9797958971132711,0.9797958971132711,322.80808089975613
-0.5506803656432308,1.4372737906131254,-0.8611590354534269,1.658555258925775,1.4274940470528754,-0.9797958971132711,0.9797958971132711,588.8893233852871
-0.5410450901346875,1.4157512992862558,-0.8964579378074257,1.6570636958549336,1.4273242582209633,-0.9797958971132711,0.9797958971132711,645.5848146359169
-0.5261470168927392,1.5032684220384056,-0.8747206387412741,1.689508838522083,1.426786179730319,-0.9797958971132711,0.9797958971132711,384.1621899381824
-0.5087885403240401,1.5397256211188652,-0.8432140969327988,1.6904481800812032,1.426430261840984,-0.9797958971132711,0.9797958971132711,526.6040944508185
-0.4901391421348496,1.5752741582561496,-0.771263719954742,1.679008823023525,1.425948385305304,-0.9797958971132711,0.9797958971132711,406.51266339806807
